GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
erasm,com.erasm.controller,ProjectController,62,0,0,0,8,0,8,0,8,0
erasm,com.erasm.controller,UserController,69,0,0,0,8,0,8,0,8,0
erasm,com.erasm.controller,ReportController,24,0,0,0,4,0,4,0,4,0
erasm,com.erasm.controller,AuditController,52,0,8,0,4,0,7,0,3,0
erasm,com.erasm.controller,DashboardController,36,0,0,0,5,0,5,0,5,0
erasm,com.erasm.controller,EmployeeController,82,53,0,0,9,7,9,7,9,7
erasm,com.erasm.controller,SkillController,45,0,0,0,6,0,6,0,6,0
erasm,com.erasm.controller,AllocationController,46,0,0,0,6,0,6,0,6,0
erasm,com.erasm.controller,ResourceRequestController,78,0,0,0,9,0,9,0,9,0
erasm,com.erasm.controller,AuthController,25,35,0,0,2,4,2,4,2,4
erasm,com.erasm.service,AllocationService,279,221,21,11,6,13,27,8,14,5
erasm,com.erasm.service,ReportService,237,0,8,0,4,0,11,0,7,0
erasm,com.erasm.service,UserService,280,0,4,0,8,0,18,0,16,0
erasm,com.erasm.service,AuditService,103,4,0,0,8,1,8,1,8,1
erasm,com.erasm.service,ResourceRequestService,260,160,39,13,8,8,33,11,8,7
erasm,com.erasm.service,ProjectService,62,318,8,12,0,13,12,13,4,11
erasm,com.erasm.service,AuthService,194,299,11,9,13,22,13,9,7,5
erasm,com.erasm.service,EmployeeService,439,326,34,6,7,12,38,13,20,11
erasm,com.erasm.service,SkillService,94,115,10,2,1,5,9,6,4,5
erasm,com.erasm.dto.response,AuthResponse.AuthResponseBuilder,14,49,0,0,0,1,1,8,1,8
erasm,com.erasm.dto.response,AuthResponse,248,43,48,0,0,2,35,8,11,8
erasm,com.erasm.dto.response,ApiResponse.ApiResponseBuilder,19,57,1,1,0,1,2,8,1,8
